Barcode,Months,Nitrite,Nitrifier,copies,log10copies
136605,12,1,Nitrospira,,
136606,12,1,AOB,,
136606,12,1,Nitrospira,,
136610,12,1,AOB,,
136610,12,1,Nitrospira,,
136620,10,1,AOB,,
136620,10,1,Nitrospira,,
136621,12,1,AOB,,
136621,12,1,Nitrospira,,
136624,10,1,AOB,,
136624,10,1,Nitrospira,,
136625,12,1,AOB,,
136625,12,1,Nitrospira,,
136630,12,1,AOB,,
136630,12,1,Nitrospira,,
136634,12,1,AOB,,
136634,12,1,Nitrospira,,
136637,12,1,AOB,,
136637,12,1,Nitrospira,,
136640,10,1,AOB,,
136640,10,1,Nitrospira,,
136641,12,1,AOB,,
136641,12,1,Nitrospira,,
136644,10,1,AOB,,
136644,10,1,Nitrospira,,
136649,12,1,AOB,,
136649,12,1,Nitrospira,,
136661,10,1,AOB,,
136661,10,1,Nitrospira,,
136665,10,1,AOB,,
136665,10,1,Nitrospira,,
136669,10,1,AOB,,
136669,10,1,Nitrospira,,
136677,10,1,AOB,,
136677,10,1,Nitrospira,,
136681,10,1,AOB,,
136681,10,1,Nitrospira,,
136685,10,1,AOB,,
136685,10,1,Nitrospira,,
136689,10,1,AOB,,
136689,10,1,Nitrospira,,
136693,10,1,AOB,,
136693,10,1,Nitrospira,,
168788,60,5,AOB,,
168788,60,5,Nitrospira,,
136622,48,10.7,AOB,,
136622,48,10.7,Nitrospira,,
136638,48,33.6,AOB,,
136638,48,33.6,Nitrospira,,
147564,36,41.93822299,AOB,,
147564,36,41.93822299,Nitrospira,,
154761,48,50.6,AOB,,
154761,48,50.6,Nitrospira,,
136633,48,54.72983911,AOB,,
136633,48,54.72983911,Nitrospira,,
136614,48,56.4,AOB,,
136614,48,56.4,Nitrospira,,
136613,48,58.21387585,AOB,,
136613,48,58.21387585,Nitrospira,,
136653,48,63.70642658,AOB,,
136653,48,63.70642658,Nitrospira,,
136642,48,69.1,AOB,,
136642,48,69.1,Nitrospira,,
136657,48,70.4,AOB,,
136657,48,70.4,Nitrospira,,
168795,60,100,AOB,,
168795,60,100,Nitrospira,,
136646,48,106,AOB,,
136646,48,106,Nitrospira,,
136629,48,120,AOB,,
136629,48,120,Nitrospira,,
